Mach,Altitude,PowerCode,Thrust,RamDrag,FuelFlow,EINox,ThrustNet,TSFC,,,Mach,Altitude,PowerCode,,Thrust_Equation (lb),TSFC_Equation (lb/lb/hr)
0.25,0,30,52210.1,21543.3,11356.9,0.37033,30666.8,0.370332086,,,,,,,,
0.25,0,26,36342.7,17942.6,7207.1,0.39169,18400.1,0.391688089,,,,,,,,
0.25,0,24,28843.7,15963.7,5452.6,0.42334,12880,0.423338509,,,,,,,,
0.25,0,22,20944.7,13584.6,3828.1,0.52011,7360.1,0.520115216,,,,,,,,
0.25,0,21,16742.2,10734.8,2274.4,0.65294,6007.4,0.378599727,,,,,,,,
0.3,0,50,129212.3,40962.8,34230.1,0.38788,88249.5,0.387878685,,,,,,,,
0.3,0,48,122241.8,39875.6,31519.9,0.38268,82366.2,0.382680031,,,,,,,,
0.3,0,46,115185.1,38702.2,29141.6,0.38102,76482.9,0.381021117,,,,,,,,
0.3,0,42,100922.9,36206.6,24471.4,0.37813,64716.3,0.378133484,,,,,,,,
0.3,0,38,86367.5,33417.8,20119.1,0.37997,52949.7,0.37996627,,,,,,,,
0.3,0,34,71540.4,30357.3,15796.6,0.38357,41183.1,0.38356996,,,,,,,,
0.3,0,30,56303,26886.5,11521.7,0.39168,29416.5,0.39167474,,,,,,,,
0.3,0,26,40366.6,22716.7,7386.5,0.4185,17649.9,0.418500955,,,,,,,,
0.3,0,24,32787.5,20432.6,5662.1,0.45828,12354.9,0.458287805,,,,,,,,
0.3,0,22,24786.8,17726.8,4024.7,0.57007,7060,0.570070822,,,,,,,,
0.3,0,21,20536.1,14215.2,2275,0.72205,6320.9,0.3599171,,,,,,,,
0.35,0,50,133532.2,48630.6,34574.1,0.40723,84901.6,0.407225541,,,,,,,,
0.35,0,48,126631.1,47389.6,31913.9,0.40274,79241.5,0.40274225,,,,,,,,
0.35,0,46,119637.7,46056.3,29539.6,0.40145,73581.4,0.401454715,,,,,,,,
0.35,0,42,105501.2,43240,24843.1,0.39901,62261.2,0.399014153,,,,,,,,
0.35,0,38,91055.3,40114.3,20300.8,0.39852,50941,0.39851593,,,,,,,,
0.35,0,34,76250.6,36629.8,16009.9,0.40408,39620.8,0.404078161,,,,,,,,
